idx,grand_prix_K,grand_prix_E,cup_K,cup_E,track_name_K,track_name_E,significant
1,니트로 그랑프리,Nitro Grand Prix,버섯 컵,Mushroom Cup,마리오 카트 스타디움,Mario Kart Stadium,
2,니트로 그랑프리,Nitro Grand Prix,버섯 컵,Mushroom Cup,워터 파크,Water Park,
3,니트로 그랑프리,Nitro Grand Prix,버섯 컵,Mushroom Cup,스위트 캐니언,Sweet Sweet Canyon,
4,니트로 그랑프리,Nitro Grand Prix,버섯 컵,Mushroom Cup,쿵쿵 유적,Thwomp Ruins,
5,니트로 그랑프리,Nitro Grand Prix,플라워 컵,Flower Cup,마리오 서킷,Mario Circuit,
6,니트로 그랑프리,Nitro Grand Prix,플라워 컵,Flower Cup,키노피오 하버,Toad Harbor,
7,니트로 그랑프리,Nitro Grand Prix,플라워 컵,Flower Cup,비틀어진 맨션,Twisted Mansion,
8,니트로 그랑프리,Nitro Grand Prix,플라워 컵,Flower Cup,헤이호 광산,Shy Guy Falls,
9,니트로 그랑프리,Nitro Grand Prix,스타 컵,Star Cup,선샤인 공항,Sunshine Airport,
10,니트로 그랑프리,Nitro Grand Prix,스타 컵,Star Cup,돌핀 케이프,Dolphin Shoals,
11,니트로 그랑프리,Nitro Grand Prix,스타 컵,Star Cup,일렉트로 드림,Electrodrome,
12,니트로 그랑프리,Nitro Grand Prix,스타 컵,Star Cup,와리오 스노 마운틴,Mount Wario,
13,니트로 그랑프리,Nitro Grand Prix,스페셜 컵,Special Cup,스카이 가든,Cloudtop Cruise,
14,니트로 그랑프리,Nitro Grand Prix,스페셜 컵,Special Cup,뼈다귀 사막,Bone Dry Dunes,
15,니트로 그랑프리,Nitro Grand Prix,스페셜 컵,Special Cup,쿠파 성,Bowser's Castle,
16,니트로 그랑프리,Nitro Grand Prix,스페셜 컵,Special Cup,무지개 로드,Rainbow Road,
17,레트로 그랑프리,Retro Grand Prix,등껍질 컵,Shell Cup,Wii 음매음매 컨트리,Wii Moo Moo Meadows,
18,레트로 그랑프리,Retro Grand Prix,등껍질 컵,Shell Cup,GBA 마리오 서킷,GBA Mario Circuit,
19,레트로 그랑프리,Retro Grand Prix,등껍질 컵,Shell Cup,DS 뽀꾸뽀꾸 비치,DS Cheep Cheep Beach,
20,레트로 그랑프리,Retro Grand Prix,등껍질 컵,Shell Cup,N64 키노피오 하이웨이,N64 Toad's Turnpike,
21,레트로 그랑프리,Retro Grand Prix,바나나 컵,Banana Cup,GC 바싹바싹 사막,GC Dry Dry Desert,GCN
22,레트로 그랑프리,Retro Grand Prix,바나나 컵,Banana Cup,SFC 도넛 평야 3,SFC Dount Plains 3,SNES
23,레트로 그랑프리,Retro Grand Prix,바나나 컵,Banana Cup,N64 피치 서킷,N64 Royal Raceway,
24,레트로 그랑프리,Retro Grand Prix,바나나 컵,Banana Cup,3DS DK 정글,3DS DK Jungle,
25,레트로 그랑프리,Retro Grand Prix,리프 컵,Leaf Cup,DS 와리오 스타디움,DS Wario Stardium,
26,레트로 그랑프리,Retro Grand Prix,리프 컵,Leaf Cup,GC 셔벗 랜드,GC Sherbet Land,GCN
27,레트로 그랑프리,Retro Grand Prix,리프 컵,Leaf Cup,3DS 뮤직 파크,3DS Music Park,
28,레트로 그랑프리,Retro Grand Prix,리프 컵,Leaf Cup,N64 요시 밸리,N64 Yoshi Valley,
29,레트로 그랑프리,Retro Grand Prix,번개 컵,Lightning Cup,DS 똑딱시계 코스,DS Tick Tock Clock,
30,레트로 그랑프리,Retro Grand Prix,번개 컵,Lightning Cup,3DS 뻐끔 슬라이더,3DS Piranha Plant Slide,
