index,date,round,game_count,game_goal,cur_game_count,win_odds,lose_odds,track_E,cc,part_people,rank,prefix_rank,odds_result,significant,RESULT,track_E_encoded,odds_result_SU,odds_result_UD
0,20220204,1,3,15,1,4.71,1.27,Mount Wario,150,10,10,10,SU,,False,41,1,0
1,20220204,1,3,15,2,4.71,1.27,Dragon Driftway,150,12,7,17,SU,,False,20,1,0
2,20220204,2,3,15,1,7.04,1.17,Mount Wario,150,11,2,2,UD,,True,41,0,1
3,20220204,2,3,15,2,7.04,1.17,3DS DK Jungle,150,11,5,7,UD,,True,0,0,1
4,20220204,2,3,15,3,7.04,1.17,DS Wario Stardium,150,12,5,12,UD,,True,18,0,1
5,20220204,3,3,15,1,1.95,2.05,GBA Ribbon Road,150,12,3,3,SU,,True,26,1,0
6,20220204,3,3,15,2,1.95,2.05,3DS Neo Bowser City,150,11,5,8,SU,,True,2,1,0
7,20220204,3,3,15,3,1.95,2.05,N64 Yoshi Valley,150,11,7,15,SU,,True,48,1,0
8,20220204,4,3,15,1,2.37,1.73,Toad Harbor,150,12,2,2,UD,,True,61,0,1
9,20220204,4,3,15,2,2.37,1.73,Cloudtop Cruise,150,12,5,7,UD,,True,11,0,1
10,20220204,4,3,15,3,2.37,1.73,Mario Kart Stadium,150,12,2,9,UD,,True,40,0,1
11,20220204,5,3,12,1,4.09,1.32,Cloudtop Cruise,150,12,8,8,SU,,False,11,1,0
12,20220204,5,3,12,2,4.09,1.32,Super Bell Subway,150,12,8,16,SU,,False,58,1,0
13,20220204,6,3,15,1,2.46,1.68,N64 Rainbow Road,150,11,6,6,SU,,False,45,1,0
14,20220204,6,3,15,2,2.46,1.68,Toad Harbor,150,12,6,12,SU,,False,61,1,0
15,20220204,6,3,15,3,2.46,1.68,N64 Yoshi Valley,150,12,9,21,SU,,False,48,1,0
18,20220204,8,3,15,1,3.22,1.45,N64 Royal Raceway,150,12,5,5,SU,,False,46,1,0
19,20220204,8,3,15,2,3.22,1.45,Mario Circuit,150,12,5,10,SU,,False,39,1,0
20,20220204,8,3,15,3,3.22,1.45,Dragon Driftway,150,12,7,17,SU,,False,20,1,0
21,20220204,9,3,15,1,3.61,1.38,Bone Dry Dunes,150,12,3,3,SU,,False,9,1,0
22,20220204,9,3,15,2,3.61,1.38,Mario Circuit,150,12,5,8,SU,,False,39,1,0
23,20220204,9,3,15,3,3.61,1.38,Animal Crossing,150,12,9,17,SU,,False,7,1,0
24,20220204,10,3,15,1,6.11,1.2,3DS Neo Bowser City,150,12,11,11,SU,,False,2,1,0
25,20220204,10,3,15,2,6.11,1.2,GC Yoshi's Circuit,150,12,6,17,SU,,False,36,1,0
26,20220204,11,3,15,1,7.45,1.16,DS Cheep Cheep Beach,150,12,10,10,SU,,False,12,1,0
27,20220204,11,3,15,2,7.45,1.16,DS Wario Stardium,150,12,9,19,SU,,False,18,1,0
28,20220204,12,3,15,1,6.29,1.19,Bowser's Castle,150,12,11,11,SU,,False,10,1,0
29,20220204,12,3,15,2,6.29,1.19,Sweet Sweet Canyon,150,12,3,14,SU,,False,59,1,0
30,20220204,12,3,15,3,6.29,1.19,Big Blue,150,12,12,26,SU,,False,8,1,0
31,20220204,13,3,15,1,5.42,1.23,GBA Ribbon Road,150,12,12,12,SU,,False,26,1,0
32,20220204,13,3,15,2,5.45,1.23,GC Baby Park,150,11,11,23,SU,,False,31,1,0
33,20220204,14,3,15,1,12.1,1.09,DS Tick Tock Clock,150,12,5,5,SU,,False,16,1,0
34,20220204,14,3,15,2,12.1,1.09,GC Baby Park,150,12,8,13,SU,,False,31,1,0
35,20220204,14,3,15,3,12.1,1.09,DS Cheep Cheep Beach,150,12,12,25,SU,,False,12,1,0
36,20220204,15,3,15,1,4.31,1.3,Animal Crossing,150,12,5,5,SU,,False,7,1,0
