index,date,round,game_count,game_goal,cur_game_count,win_odds,lose_odds,track_K,track_E,cc,part_people,rank,prefix_rank,odds_result,significant,RESULT
1,20220204,1,3,15,1,4.71,1.27,와리오 스노 마운틴,Mount Wario,150,10,10,10,straight up,,FALSE
2,20220204,1,3,15,2,4.71,1.27,드래곤 드리프트 로드,Dragon Driftway,mirror,12,7,17,straight up,,FALSE
3,20220204,2,3,15,1,7.04,1.17,와리오 스노 마운틴,Mount Wario,150,11,2,2,underdog,,TRUE
4,20220204,2,3,15,2,7.04,1.17,3DS DK 정글,3DS DK Jungle,150,11,5,7,underdog,,TRUE
5,20220204,2,3,15,3,7.04,1.17,DS 와리오 스타디움,DS Wario Stardium,150,12,5,12,underdog,,TRUE
6,20220204,3,3,15,1,1.95,2.05,GBA 리본 로드,GBA Ribbon Road,150,12,3,3,straight up,,TRUE
7,20220204,3,3,15,2,1.95,2.05,3DS 네오 쿠파 시티,3DS Neo Bowser City,150,11,5,8,straight up,,TRUE
8,20220204,3,3,15,3,1.95,2.05,N64 요시 밸리,N64 Yoshi Valley,150,11,7,15,straight up,,TRUE
9,20220204,4,3,15,1,2.37,1.73,키노피오 하버,Toad Harbor,150,12,2,2,underdog,,TRUE
10,20220204,4,3,15,2,2.37,1.73,스카이 가든,Cloudtop Cruise,150,12,5,7,underdog,,TRUE
11,20220204,4,3,15,3,2.37,1.73,마리오 카트 스타디움,Mario Kart Stadium,150,12,2,9,underdog,,TRUE
12,20220204,5,3,12,1,4.09,1.32,스카이 가든,Cloudtop Cruise,150,12,8,8,straight up,,FALSE
13,20220204,5,3,12,2,4.09,1.32,슈퍼 벨 메트로,Super Bell Subway,150,12,8,16,straight up,,FALSE
14,20220204,6,3,15,1,2.46,1.68,N64 무지개 로드,N64 Rainbow Road,mirror,11,6,6,straight up,,FALSE
15,20220204,6,3,15,2,2.46,1.68,키노피오 하버,Toad Harbor,150,12,6,12,straight up,,FALSE
16,20220204,6,3,15,3,2.46,1.68,N64 요시 밸리,N64 Yoshi Valley,mirror,12,9,21,straight up,,FALSE
17,20220204,7,3,15,1,5.39,1.23,뮤트 시티,Mute City,150,12,7,7,underdog,MISS,TRUE
18,20220204,7,3,15,2,5.39,1.23,쿵쿵 유적,Thwomp Ruins,150,12,10,17,underdog,MISS,TRUE
19,20220204,8,3,15,1,3.22,1.45,N64 피치 서킷,N64 Royal Raceway,150,12,5,5,straight up,,FALSE
20,20220204,8,3,15,2,3.22,1.45,마리오 서킷,Mario Circuit,150,12,5,10,straight up,,FALSE
21,20220204,8,3,15,3,3.22,1.45,드래곤 드리프트 로드,Dragon Driftway,mirror,12,7,17,straight up,,FALSE
22,20220204,9,3,15,1,3.61,1.38,뼈다귀 사막,Bone Dry Dunes,150,12,3,3,straight up,,FALSE
23,20220204,9,3,15,2,3.61,1.38,마리오 서킷,Mario Circuit,150,12,5,8,straight up,,FALSE
24,20220204,9,3,15,3,3.61,1.38,동물의 숲,Animal Crossing,150,12,9,17,straight up,,FALSE
25,20220204,10,3,15,1,6.11,1.20,3DS 네오 쿠파 시티,3DS Neo Bowser City,mirror,12,11,11,straight up,,FALSE
26,20220204,10,3,15,2,6.11,1.20,GC 요시 서킷,GC Yoshi's Circuit,150,12,6,17,straight up,,FALSE
27,20220204,11,3,15,1,7.45,1.16,DS 뽀꾸뽀꾸 비치,DS Cheep Cheep Beach,150,12,10,10,straight up,,FALSE
28,20220204,11,3,15,2,7.45,1.16,DS 와리오 스타디움,DS Wario Stardium,150,12,9,19,straight up,,FALSE
29,20220204,12,3,15,1,6.29,1.19,쿠파 성,Bowser's Castle,150,12,11,11,straight up,,FALSE
30,20220204,12,3,15,2,6.29,1.19,스위트 캐니언,Sweet Sweet Canyon,150,12,3,14,straight up,,FALSE
31,20220204,12,3,15,3,6.29,1.19,빅 블루,Big Blue,150,12,12,26,straight up,,FALSE
32,20220204,13,3,15,1,5.42,1.23,GBA 리본 로드,GBA Ribbon Road,150,12,12,12,straight up,,FALSE
33,20220204,13,3,15,2,5.45,1.23,GC 베이비 파크,GC Baby Park,150,11,11,23,straight up,,FALSE
34,20220204,14,3,15,1,12.10,1.09,DS 똑딱시계 코스,DS Tick Tock Clock,150,12,5,5,straight up,,FALSE
35,20220204,14,3,15,2,12.10,1.09,GC 베이비 파크,GC Baby Park,150,12,8,13,straight up,,FALSE
36,20220204,14,3,15,3,12.10,1.09,DS 뽀꾸뽀꾸 비치,DS Cheep Cheep Beach,150,12,12,25,straight up,,FALSE
37,20220204,15,3,15,1,4.31,1.30,동물의 숲,Animal Crossing,150,12,5,5,straight up,,FALSE
38,20220204,15,3,15,2,4.31,1.30,DS 똑딱시계 코스,DS Tick Tock Clock,150,12,6,11,straight up,,FALSE
39,20220204,15,3,15,3,4.31,1.30,GBA 치즈 랜드,GBA Cheese Land,150,12,5,16,straight up,,FALSE
40,20220204,16,3,12,1,7.90,1.14,네이처 로드,Wild Woods,150,12,2,2,straight up,,FALSE
41,20220204,16,3,12,2,7.90,1.14,키노피오 하버,Toad Harbor,150,12,8,10,straight up,,FALSE
42,20220204,16,3,12,3,7.90,1.14,와리오 스노 마운틴,Mount Wario,150,12,8,18,straight up,,FALSE
43,20220204,17,1,3,1,11.07,1.10,쿵쿵 유적,Thwomp Ruins,200,12,5,5,straight up,,FALSE
44,20220204,18,3,12,1,17.84,1.06,무지개 로드,Rainbow Road,150,12,6,6,straight up,,FALSE
45,20220204,18,3,12,2,17.84,1.06,익사이트 바이크,Excitebike Arena,150,11,9,15,straight up,,FALSE
46,20220204,19,3,15,1,8.98,1.13,동물의 숲,Animal Crossing,150,11,5,5,straight up,,FALSE
47,20220204,19,3,15,2,8.98,1.13,무지개 로드,Rainbow Road,150,11,9,14,straight up,,FALSE
48,20220204,19,3,15,3,8.98,1.13,N64 요시 밸리,N64 Yoshi Valley,150,12,8,22,straight up,,FALSE
49,20220204,20,3,15,1,3.30,1.43,동물의 숲,Animal Crossing,150,12,3,3,straight up,,TRUE
50,20220204,20,3,15,2,3.30,1.43,Wii 음매음매 컨트리,Wii Moo Moo Meadows,150,12,3,6,straight up,,TRUE
51,20220204,20,3,15,3,3.30,1.43,3DS 뻐끔 슬라이더,3DS Piranha Plant Slide,150,6,1,7,straight up,,TRUE
52,20220204,21,3,15,1,1.53,2.89,GBA 마리오 서킷,GBA Mario Circuit,150,7,6,6,underdog,,FALSE
53,20220204,21,3,15,2,1.53,2.89,Wii 와리오 광산,Wii Wario's Gold Mine,150,12,6,12,underdog,,FALSE
54,20220204,21,3,15,3,1.53,2.89,드래곤 드리프트 로드,Dragon Driftway,150,11,4,16,underdog,,FALSE
55,20220204,22,3,12,1,7.49,1.15,N64 요시 밸리,N64 Yoshi Valley,150,12,8,8,straight up,,FALSE
56,20220204,22,3,12,2,7.49,1.15,무지개 로드,Rainbow Road,150,11,8,16,straight up,,FALSE
57,20220204,23,1,3,1,3.63,1.38,GC 베이비 파크,GC Baby Park,150,12,6,6,straight up,,FALSE
58,20220526,1,3,20,1,2.61,1.62,뮤트 시티,Mute City,150,9,2,2,underdog,,TRUE
59,20220526,1,3,20,2,2.61,1.62,SFC 도넛 평야 3,SFC Dount Plains 3,150,12,5,7,underdog,,TRUE
60,20220526,2,3,18,1,1.87,2.15,스카이 가든,Cloudtop Cruise,150,11,8,8,underdog,,FALSE
61,20220526,2,3,18,2,1.87,2.15,네이처 로드,Wild Woods,150,12,12,20,underdog,,FALSE
62,20220526,3,3,20,1,1.77,2.31,슈퍼 벨 메트로,Super Bell Subway,150,9,8,8,straight up,,TRUE
63,20220526,3,3,20,2,1.77,2.31,3DS DK 정글,3DS DK Jungle,150,6,5,13,straight up,,TRUE
64,20220526,3,3,20,3,1.77,2.31,GBA 스카이 가든,GBA Sky Garden,150,8,4,17,straight up,,TRUE
65,20220526,4,3,20,1,2.07,1.93,스위트 캐니언,Sweet Sweet Canyon,150,10,5,5,underdog,,TRUE
66,20220526,4,3,20,2,2.07,1.93,익사이트 바이크,Excitebike Arena,150,12,4,9,underdog,,TRUE
67,20220526,4,3,20,3,2.07,1.93,Tour 도쿄 블러,Tour Tokyo Blur,150,12,4,13,underdog,,TRUE
